id,URL,Status,transactionType,transactionSubtype,price,isSubjectToVat,isFurnished,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,latitude,longitude,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,epcScore,heatingType,hasDoubleGlazing,saleType,creationDate,lastModificationDate,bookmarkCount,viewCount
10833985,https://www.immoweb.be/en/classified/10833985,200,FOR_SALE,BUY_REGULAR,225000.0,False,,APARTMENT,DUPLEX,Belgium,Flanders,Antwerp,Turnhout,Mol,2400,Ezaartveld,89,102,0.0,51.1797414,5.0940053,2.0,85.0,2007.0,,,AS_NEW,,,,,True,30.0,,False,,,,0.0,,,,101.0,B,,,,2023-09-21T06:39:29.000+0000,2023-09-21T06:44:22.353+0000,,
10833976,https://www.immoweb.be/en/classified/10833976,200,FOR_SALE,BUY_REGULAR,626666.0,True,,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Gent,Oosterzele,9860,Geraardsbergse steenweg,256,,,50.9262223,3.8132872,3.0,191.0,2024.0,3.0,,,,USA_HYPER_EQUIPPED,,,True,,550.0,False,,,1.0,0.0,2.0,1.0,,,,,True,newlyBuilt,2023-09-21T06:38:51.000+0000,2023-09-21T06:44:12.480+0000,,
10833975,https://www.immoweb.be/en/classified/10833975,200,FOR_SALE,BUY_REGULAR,975000.0,False,True,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Ieper,Ieper,8900,Veurnseweg,512,,,50.8832527,2.8239413,6.0,635.0,,4.0,,AS_NEW,,,True,3250.0,True,200.0,3725.0,False,,,3.0,2.0,4.0,2.0,20.0,257.0,C,,,,2023-09-21T06:38:49.000+0000,2023-09-21T06:44:10.730+0000,,
10833982,https://www.immoweb.be/en/classified/10833982,200,FOR_SALE,BUY_REGULAR,335000.0,False,False,HOUSE,HOUSE,Belgium,Flanders,Antwerp,Turnhout,Turnhout,2300,Patersstraat,150,,,51.3281451,4.9498184,3.0,164.0,,2.0,,AS_NEW,,INSTALLED,,,True,,158.0,False,,,1.0,0.0,2.0,,,272.0,C,GAS,True,,2023-09-21T06:39:23.000+0000,2023-09-21T06:44:19.897+0000,,
10833979,https://www.immoweb.be/en/classified/10833979,200,FOR_SALE,BUY_REGULAR,219000.0,False,False,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Leuven,Begijnendijk,3130,Plankenbrug,44,,,51.025626,4.8046316,2.0,118.0,1952.0,4.0,,TO_RENOVATE,,SEMI_EQUIPPED,,,,,1265.0,False,,,1.0,0.0,1.0,1.0,5.0,874.0,F,FUELOIL,True,,2023-09-21T06:39:13.000+0000,2023-09-21T06:44:15.623+0000,,
10833980,https://www.immoweb.be/en/classified/10833980,200,FOR_SALE,BUY_REGULAR,295000.0,False,,HOUSE,HOUSE,Belgium,Flanders,Antwerp,Turnhout,Arendonk,2370,Grotstraat,43,,,51.3268558,5.0770198,3.0,155.0,1960.0,4.0,,TO_BE_DONE_UP,,INSTALLED,True,800.0,True,30.0,1035.0,False,,,1.0,0.0,1.0,1.0,2.0,875.0,F,GAS,True,,2023-09-21T06:39:18.000+0000,2023-09-21T06:44:17.297+0000,,
10833981,https://www.immoweb.be/en/classified/10833981,200,FOR_SALE,BUY_REGULAR,449000.0,False,False,HOUSE,HOUSE,Belgium,Flanders,Antwerp,Turnhout,Beerse,2340,J. B. Bastijnsstraat,3,,,51.320627,4.862638,4.0,230.0,2007.0,3.0,,AS_NEW,,USA_INSTALLED,,,True,,330.0,False,,,1.0,0.0,2.0,1.0,2.0,95.0,A,GAS,True,,2023-09-21T06:39:21.000+0000,2023-09-21T06:44:18.720+0000,,
10833987,https://www.immoweb.be/en/classified/10833987,200,FOR_SALE,BUY_REGULAR,395000.0,False,False,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Uccle,1180,Avenue Château de Walzin,4,,9.0,50.8075157,4.3460487,2.0,90.0,1973.0,4.0,10.0,GOOD,True,HYPER_EQUIPPED,,,True,,,False,False,,1.0,1.0,1.0,1.0,,262.0,E,GAS,True,,2023-09-21T06:39:43.000+0000,2023-09-21T06:44:25.580+0000,,
10833988,https://www.immoweb.be/en/classified/10833988,200,FOR_SALE,BUY_REGULAR,319000.0,False,False,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Halle,1500,Gentil Antheunisstraat,2,,,50.739284,4.2309503,2.0,128.0,1942.0,2.0,,JUST_RENOVATED,False,USA_INSTALLED,,,,,40.0,False,,,1.0,1.0,1.0,,,416.0,E,GAS,True,,2023-09-21T06:39:51.000+0000,2023-09-21T06:44:27.643+0000,,
10833989,https://www.immoweb.be/en/classified/10833989,200,FOR_SALE,BUY_REGULAR,385000.0,False,False,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Aalst,Denderhoutem,9450,Nieuwstraat,108,,,50.8694367,4.0075353,4.0,195.0,1935.0,2.0,,GOOD,,USA_HYPER_EQUIPPED,True,45.0,True,14.0,211.0,False,,,1.0,0.0,2.0,1.0,,322.0,D,GAS,True,,2023-09-21T06:39:54.000+0000,2023-09-21T06:44:28.627+0000,,
10833997,https://www.immoweb.be/en/classified/10833997,200,FOR_SALE,BUY_REGULAR,399000.0,False,,APARTMENT,APARTMENT,Belgium,Wallonie,Liège,Liège,Jupille,4020,,,,0.0,,,4.0,260.0,,2.0,4.0,TO_BE_DONE_UP,,,,,,,,False,,,4.0,0.0,5.0,,,261.0,D,GAS,True,,2023-09-21T06:41:07.000+0000,2023-09-21T06:41:07.527+0000,,
10833990,https://www.immoweb.be/en/classified/10833990,200,FOR_SALE,BUY_REGULAR,1990000.0,False,False,HOUSE,EXCEPTIONAL_PROPERTY,Belgium,Wallonie,Walloon Brabant,Nivelles,Braine-l'Alleud,1420,,,,,,,6.0,600.0,1992.0,4.0,,TO_BE_DONE_UP,True,USA_HYPER_EQUIPPED,,,True,140.0,5000.0,False,True,,6.0,7.0,9.0,2.0,4.0,218.0,C,GAS,True,,2023-09-21T06:40:01.000+0000,2023-09-21T06:43:47.250+0000,,
